OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
Vihti;355641;6700134;Vihti;226;19610101;1961;1;1;3355000;6705000;-2.6;-2.3;-2.4;1.0;601;-999.00;0.00;1.0
Vihti;355641;6700134;Vihti;226;19610102;1961;1;2;3355000;6705000;-1.1;0.3;-3.1;1.0;590;5.22;0.00;2.0
Vihti;355641;6700134;Vihti;226;19610103;1961;1;3;3355000;6705000;-0.7;0.5;0.0;0.0;622;5.56;0.00;2.0
Vihti;355641;6700134;Vihti;226;19610104;1961;1;4;3355000;6705000;-0.7;-0.9;-1.8;5.0;600;5.07;0.00;7.0
Vihti;355641;6700134;Vihti;226;19610105;1961;1;5;3355000;6705000;0.9;2.6;-0.5;4.0;646;6.53;0.00;11.0
Vihti;355641;6700134;Vihti;226;19610106;1961;1;6;3355000;6705000;0.1;1.4;-0.1;3.0;674;5.71;0.00;14.0
Vihti;355641;6700134;Vihti;226;19610107;1961;1;7;3355000;6705000;0.1;0.5;-0.8;0.0;689;5.45;0.00;14.0
Vihti;355641;6700134;Vihti;226;19610108;1961;1;8;3355000;6705000;-0.9;0.8;-0.8;2.0;683;5.67;0.00;16.0
Vihti;355641;6700134;Vihti;226;19610109;1961;1;9;3355000;6705000;-7.1;-1.7;-11.4;0.0;805;3.28;0.00;16.0
Vihti;355641;6700134;Vihti;226;19610110;1961;1;10;3355000;6705000;-5.7;-0.2;-17.8;5.0;811;3.74;0.00;21.0
Vihti;355641;6700134;Vihti;226;19610111;1961;1;11;3355000;6705000;0.2;0.8;0.5;4.0;750;6.15;0.00;25.0
Vihti;355641;6700134;Vihti;226;19610112;1961;1;12;3355000;6705000;-2.4;0.4;-7.1;1.0;779;4.55;0.00;26.0
Vihti;355641;6700134;Vihti;226;19610113;1961;1;13;3355000;6705000;-0.7;0.5;-6.1;6.0;773;5.82;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610114;1961;1;14;3355000;6705000;0.0;0.5;-2.1;0.0;914;5.37;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610115;1961;1;15;3355000;6705000;-0.9;2.5;-0.9;0.0;1019;5.55;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610116;1961;1;16;3355000;6705000;-11.0;1.1;-17.9;0.0;1413;2.45;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610117;1961;1;17;3355000;6705000;-17.0;-17.7;-23.3;0.0;1549;1.25;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610118;1961;1;18;3355000;6705000;-5.6;0.0;-22.1;0.0;872;4.75;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610119;1961;1;19;3355000;6705000;-3.5;-0.7;-1.9;0.0;857;4.59;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610120;1961;1;20;3355000;6705000;-9.8;-2.7;-13.1;0.0;1532;3.17;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610121;1961;1;21;3355000;6705000;-10.4;-6.7;-14.3;0.0;936;2.79;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610122;1961;1;22;3355000;6705000;-8.8;-6.3;-12.7;0.0;1523;2.85;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610123;1961;1;23;3355000;6705000;-9.7;-7.2;-10.9;0.0;1037;2.65;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610124;1961;1;24;3355000;6705000;-13.4;-7.1;-16.6;0.0;1870;1.82;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610125;1961;1;25;3355000;6705000;-12.4;-11.1;-18.0;0.0;1685;2.00;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610126;1961;1;26;3355000;6705000;-5.2;-1.1;-12.6;0.0;1322;3.82;0.00;32.0
Vihti;355641;6700134;Vihti;226;19610127;1961;1;27;3355000;6705000;-1.1;-1.0;-3.1;0.0;1382;4.29;0.00;32.0
