OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
1;3356593;6703104;Vihti;9999;20160703;2016;7;3;3356500;6703500;16.5;22.1;15.0;3.0;16762;17.8;11.5;3.0
1;3356593;6703104;Vihti;9999;20160704;2016;7;4;3356500;6703500;13.9;17.1;11.3;2.6;19192;14.3;20.4;5.6
1;3356593;6703104;Vihti;9999;20160705;2016;7;5;3356500;6703500;14.8;18.5;10.7;0.0;27544;13.3;30.2;5.6
1;3356593;6703104;Vihti;9999;20160706;2016;7;6;3356500;6703500;15.9;20.0;13.1;2.7;21312;12.0;41.1;8.3
1;3356593;6703104;Vihti;9999;20160707;2016;7;7;3356500;6703500;12.6;15.6;11.7;2.2;5792;13.4;48.7;10.5
1;3356593;6703104;Vihti;9999;20160708;2016;7;8;3356500;6703500;15.2;20.3;11.2;0.0;22802;12.9;58.900000000000006;10.5
1;3356593;6703104;Vihti;9999;20160709;2016;7;9;3356500;6703500;16.2;22.4;9.3;4.6;24386;12.8;70.10000000000001;15.1
1;3356593;6703104;Vihti;9999;20160710;2016;7;10;3356500;6703500;14.8;21.4;10.7;13.4;17478;14.6;79.9;28.5
1;3356593;6703104;Vihti;9999;20160711;2016;7;11;3356500;6703500;15.4;20.0;10.8;9.6;17010;16.4;90.30000000000001;38.1
1;3356593;6703104;Vihti;9999;20160712;2016;7;12;3356500;6703500;17.3;21.4;14.5;3.1;17856;17.2;102.60000000000001;41.2
1;3356593;6703104;Vihti;9999;20160713;2016;7;13;3356500;6703500;17.6;21.9;14.5;0.1;19231;16.0;115.20000000000002;41.300000000000004
1;3356593;6703104;Vihti;9999;20160714;2016;7;14;3356500;6703500;17.2;22.7;12.4;0.1;27659;14.2;127.40000000000002;41.400000000000006
1;3356593;6703104;Vihti;9999;20160715;2016;7;15;3356500;6703500;14.8;18.4;10.6;20.5;6466;16.1;137.20000000000002;61.900000000000006
1;3356593;6703104;Vihti;9999;20160716;2016;7;16;3356500;6703500;17.4;22.3;13.9;0.0;23501;16.4;149.60000000000002;61.900000000000006
1;3356593;6703104;Vihti;9999;20160717;2016;7;17;3356500;6703500;16.3;20.1;14.4;0.6;15365;15.6;160.90000000000003;62.50000000000001
1;3356593;6703104;Vihti;9999;20160718;2016;7;18;3356500;6703500;16.5;21.7;11.2;0.3;17500;14.0;172.40000000000003;62.800000000000004
1;3356593;6703104;Vihti;9999;20160719;2016;7;19;3356500;6703500;16.5;22.3;10.1;0.0;20304;12.5;183.90000000000003;62.800000000000004
1;3356593;6703104;Vihti;9999;20160720;2016;7;20;3356500;6703500;16.9;22.3;9.5;0.1;30251;12.6;195.80000000000004;62.900000000000006
1;3356593;6703104;Vihti;9999;20160721;2016;7;21;3356500;6703500;17.6;21.2;14.8;0.0;10764;16.3;208.40000000000003;62.900000000000006
1;3356593;6703104;Vihti;9999;20160722;2016;7;22;3356500;6703500;16.5;18.7;15.7;0.0;11531;17.7;219.90000000000003;62.900000000000006
1;3356593;6703104;Vihti;9999;20160723;2016;7;23;3356500;6703500;17.8;20.9;16.0;0.8;10181;19.7;232.70000000000005;63.7
1;3356593;6703104;Vihti;9999;20160724;2016;7;24;3356500;6703500;20.1;24.4;16.4;0.0;15361;19.7;247.80000000000004;63.7
1;3356593;6703104;Vihti;9999;20160725;2016;7;25;3356500;6703500;20.3;25.6;14.6;1.0;16960;19.9;263.1;64.7
1;3356593;6703104;Vihti;9999;20160726;2016;7;26;3356500;6703500;20.2;25.5;13.9;0.0;24026;17.8;278.3;64.7
1;3356593;6703104;Vihti;9999;20160727;2016;7;27;3356500;6703500;19.6;25.5;14.9;0.0;23555;16.1;292.90000000000003;64.7
1;3356593;6703104;Vihti;9999;20160728;2016;7;28;3356500;6703500;17.2;22.6;11.2;2.5;20617;16.0;305.1;67.2
1;3356593;6703104;Vihti;9999;20160729;2016;7;29;3356500;6703500;18.8;23.7;14.1;0.7;30769;17.6;318.90000000000003;67.9
